"","Df","SS","MS","Rsq","F","Z","Pr(>F)"
"log(size)",1,0.625,"0.625","0.365","449.54","10.47","0.002"
"Species",37,0.694,"0.019","0.405","13.503","19.857","0.002"
"log(size):Species",37,0.06,"0.002","0.035","1.159","18.522","0.002"
"Residuals",241,0.335,"0.001","0.195","","",""
"Total",316,1.713,"","","","",""
