"","Df","SS","MS","Rsq","F","Z","Pr(>F)"
"log(CS)",1,0.015,"0.015","0.422","24.628","5.253","0.002"
"Genus",13,0.009,"0.001","0.252","1.131","3.704","0.002"
"Residuals",19,0.012,"0.001","0.326","","",""
"Total",33,0.036,"","","","",""
