"","Df","SS","MS","Rsq","F","Z","Pr(>F)"
"log(size)",1,0.016,"0.016","0.407","27.417","5.489","0.002"
"Genus",14,0.011,"0.001","0.269","1.295","4.034","0.002"
"log(size):Genus",3,0.002,"0.001","0.057","1.287","3.718","0.002"
"Residuals",18,0.01,"0.001","0.267","","",""
"Total",36,0.039,"","","","",""
