"","Df","SS","MS","Rsq","F","Z","Pr(>F)"
"log(size)",1,0.625,"0.625","0.365","271.395","9.405","0.002"
"clade",7,0.3,"0.043","0.175","18.634","14.843","0.002"
"log(size):clade",7,0.096,"0.014","0.056","5.936","10.828","0.002"
"Residuals",301,0.693,"0.002","0.404","","",""
"Total",316,1.713,"","","","",""
