"","Df","SS","MS","Rsq","F","Z","Pr(>F)"
"log(size)",1,0.625,"0.625","0.365","449.54","10.067","0.002"
"spp",37,0.694,"0.019","0.405","13.503","18.932","0.002"
"log(size):spp",37,0.06,"0.002","0.035","1.159","2.812","0.002"
"Residuals",241,0.335,"0.001","0.195","","",""
"Total",316,1.713,"","","","",""
