"","Non-specialist","Frugivore","Folivore","Carnivore","Hopping"
"Non-specialist","-","4.55","3.09","2.49","1.1"
"Frugivore","0.02","-","1.47","1.83","4.13"
"Folivore","0.02","1","-","1.24","2.8"
"Carnivore","0.499","1","1","-","2.26"
"Hopping","1","0.02","0.08","1","-"
