"","x"
"1",1
"2",0.962373557968808
"3",0.947831934696915
"4",0.962373557968808
"5",0.758907954399325
"6",0.674237239806102
"7",0.945977845394203
"8",0.945977845394203
"9",0.795099456259894
"10",0.955661868502853
"11",0.920331421287444
"12",0.916317653709921
"13",0.9439055468399
"14",0.918332241467162
"15",0.998707751669912
"16",0.90810160500916
"17",0.795099456259894
"18",0.795099456259894
"19",0.882794249229735
"20",0.868909240342844
"21",0.576447105788423
"22",0.984919770847914
"23",1
"24",0.90810160500916
"25",0.945977845394203
"26",0.816854769723226
"27",0.729346185677426
"28",0.992057221011078
"29",0.977642704540667
"30",0.742132501464138
"31",0.791129082042101
"32",0.882794249229735
"33",0.898886331963839
"34",0.816854769723226
"35",0.750228953856992
"36",0.981596073295812
"37",0.727210194994626
"38",0.685286769119104
"39",0.962373557968808
"40",1
"41",0.795099456259894
"42",0.81739936982527
"43",0.474514385862421
"44",0.443420850606479
"45",0.984919770847914
"46",0.646383703181872
"47",0.552609067579128
"48",0.909443249423483
"49",0.955661868502853
"50",0.921771551237148
"51",0.597536634048975
"52",0.727210194994626
"53",0.708589465587098
"54",0.703105898928786
"55",0.959071404229868
"56",1
"57",0.638612970138155
"58",0.962373557968808
"59",0.634091816367266
"60",0.921771551237148
"61",0.685286769119104
"62",0.984919770847914
"63",0.915304526082969
"64",0.997013676806633
"65",0.474514385862421
"66",0.921990914980546
"67",0.914287479200207
"68",0.458537470513518
"69",0.552609067579128
"70",0.856048586587509
"71",0.984919770847914
"72",0.576447105788423
"73",0.999204008900628
"74",0.870675316034597
"75",0.448872746310657
"76",0.768330741831254
"77",0.947831934696915
"78",0.795099456259894
"79",1
"80",1
"81",0.725090699104935
"82",0.443420850606479
"83",0.823950333328927
"84",0.607864839042295
"85",0.552609067579128
"86",0.817931704159249
"87",0.870675316034597
"88",0.861006799959403
"89",0.576447105788423
"90",0.994951273922743
"91",0.603896967968824
"92",1
"93",0.984919770847914
"94",0.984919770847914
"95",0.708899353396766
"96",0.956516544376037
"97",0.589548176374524
"98",0.791129082042101
"99",0.623186060311809
"100",0.983125263615863
"101",0.877202117504122
"102",0.977642704540667
"103",0.708899353396766
"104",0.623504012383397
"105",0.77980908210105
"106",0.552609067579128
"107",0.623504012383397
"108",0.945977845394203
"109",0.909443249423483
"110",0.844576641923125
"111",1
"112",0.819396605020048
"113",0.443420850606479
"114",0.725090699104935
"115",0.962373557968808
"116",0.81739936982527
"117",1
"118",1
"119",0.708899353396766
"120",0.443420850606479
"121",0.861006799959403
"122",0.623504012383397
"123",0.457497703006684
"124",0.891982164702852
"125",0.921771551237148
"126",0.90810160500916
"127",0.587412132257225
"128",0.982361942781105
"129",0.623504012383397
"130",1
"131",0.998707751669912
"132",0.998707751669912
"133",0.623504012383397
"134",0.977642704540667
"135",0.623504012383397
"136",0.813202167094383
"137",0.646383703181872
"138",0.986396139759316
"139",0.919333746300502
"140",0.994951273922743
"141",0.748190933766685
"142",0.708899353396766
"143",0.808684788695989
"144",0.552609067579128
"145",0.623504012383397
"146",0.962373557968808
"147",0.959071404229868
"148",0.818452182494699
"149",1
"150",0.87952754285244
"151",0.443420850606479
"152",0.778357723056561
"153",0.758907954399325
"154",0.474514385862421
"155",0.725090699104935
"156",0.708899353396766
"157",1
"158",0.725090699104935
"159",0.552609067579128
"160",0.473202848035273
"161",0.95991408187086
"162",0.552609067579128
"163",0.576447105788423
"164",0.588519296485563
"165",0.443420850606479
"166",0.740033446620273
"167",0.443420850606479
"168",0.639878544070161
"169",0.778357723056561
"170",0.777808766029585
"171",0.984919770847914
"172",0.727210194994626
"173",0.474514385862421
"174",0.552609067579128
"175",0.443420850606479
"176",0.816854769723226
"177",0.617621899059025
"178",0.740033446620273
"179",1
"180",0.443420850606479
"181",0.474514385862421
"182",0.90810160500916
"183",1
"184",0.623504012383397
"185",0.597536634048975
"186",0.945977845394203
"187",0.854795761795467
"188",0.579667480681096
"189",0.760813568393938
"190",0.576447105788423
"191",0.674237239806102
"192",0.443420850606479
"193",0.443420850606479
"194",0.443420850606479
"195",0.725090699104935
"196",1
"197",0.443420850606479
"198",0.443420850606479
"199",0.795099456259894
"200",0.443420850606479
"201",0.448872746310657
"202",0.491675472584243
"203",0.443420850606479
"204",0.448872746310657
"205",0.443420850606479
"206",0.443420850606479
"207",0.623504012383397
"208",0.646925127846497
"209",0.579667480681096
"210",0.597536634048975
"211",0.443420850606479
"212",0.443420850606479
"213",0.443420850606479
"214",0.778357723056561
"215",0.552609067579128
"216",0.623504012383397
"217",0.746293128029655
"218",0.443420850606479
"219",0.443420850606479
"220",0.819396605020048
"221",0.708899353396766
"222",0.552609067579128
"223",0.48037258815702
"224",0.589548176374524
"225",0.757829169247711
"226",0.544095482504379
"227",1
"228",0.544095482504379
"229",0.945977845394203
"230",0.984919770847914
"231",0.823950333328927
"232",0.861006799959403
"233",0.552609067579128
"234",0.443420850606479
"235",1
"236",0.623504012383397
"237",0.552609067579128
"238",0.962373557968808
"239",0.992057221011078
"240",0.90810160500916
"241",0.576447105788423
"242",0.778357723056561
"243",0.634778062921775
"244",0.791129082042101
"245",0.984919770847914
"246",1
"247",0.708899353396766
"248",0.951342865869684
"249",0.61666434572715
"250",0.960745176314039
"251",0.635453502443931
"252",0.965597424679261
"253",0.882794249229735
"254",1
"255",0.526860257978666
"256",0.882794249229735
"257",0.962373557968808
"258",0.48037258815702
"259",0.576447105788423
"260",0.922207823159651
"261",1
"262",0.612811759658254
"263",1
"264",0.81739936982527
"265",0.458537470513518
"266",0.748190933766685
"267",0.945977845394203
"268",0.646383703181872
"269",0.607864839042295
"270",0.623504012383397
"271",0.473202848035273
"272",0.443420850606479
"273",0.623504012383397
"274",1
"275",0.526860257978666
"276",0.623504012383397
"277",0.623504012383397
"278",0.602775218793183
"279",1
"280",0.579667480681096
"281",0.795099456259894
"282",0.576447105788423
"283",0.552609067579128
"284",0.552609067579128
"285",0.552609067579128
"286",0.588519296485563
"287",0.791129082042101
"288",0.703460874860449
"289",0.854795761795467
"290",1
"291",0.725090699104935
"292",0.552609067579128
"293",0.448872746310657
"294",0.748190933766685
"295",0.646383703181872
"296",0.443420850606479
"297",0.474514385862421
"298",0.579667480681096
"299",0.576447105788423
"300",0.552609067579128
"301",0.474514385862421
"302",0.751887529289248
"303",0.443420850606479
"304",0.909443249423483
"305",0.795099456259894
"306",0.552609067579128
"307",0.552609067579128
"308",0.457497703006684
"309",0.95991408187086
"310",0.795099456259894
"311",0.552609067579128
"312",0.526860257978666
"313",1
"314",0.552609067579128
"315",0.587412132257225
"316",0.623504012383397
"317",0.443420850606479
"318",0.579667480681096
"319",0.443420850606479
"320",0.588519296485563
"321",0.795099456259894
"322",0.816854769723226
"323",0.778357723056561
"324",0.758907954399325
"325",0.474514385862421
"326",0.443420850606479
"327",0.443420850606479
"328",0.852842910291728
"329",0.639878544070161
"330",0.791129082042101
"331",0.984919770847914
"332",0.443420850606479
"333",0.443420850606479
"334",1
"335",0.959071404229868
"336",0.646383703181872
"337",0.632685847816562
"338",0.813202167094383
"339",0.906092007601563
"340",0.617621899059025
"341",0.751887529289248
"342",0.579667480681096
"343",0.955661868502853
"344",0.909443249423483
"345",0.817931704159249
"346",0.891982164702852
"347",0.552609067579128
"348",0.443420850606479
"349",0.962373557968808
"350",0.623504012383397
"351",0.552609067579128
"352",1
"353",0.994951273922743
"354",0.870675316034597
"355",0.587412132257225
"356",0.795099456259894
"357",0.621399403028805
"358",0.816854769723226
"359",1
"360",0.992057221011078
"361",0.646383703181872
"362",0.950469826834744
"363",0.623186060311809
"364",1
"365",0.639878544070161
"366",0.978417746446906
"367",0.891982164702852
"368",0.994951273922743
"369",0.552609067579128
"370",0.751887529289248
"371",1
"372",0.474514385862421
"373",0.561612069977692
"374",0.998707751669912
"375",0.985659151712782
"376",0.623504012383397
"377",1
"378",0.837491683300067
"379",0.443420850606479
"380",0.757829169247711
"381",0.920331421287444
"382",0.955661868502853
"383",0.870675316034597
"384",0.921771551237148
"385",0.576447105788423
"386",0.448872746310657
"387",0.992057221011078
"388",0.623504012383397
"389",0.587412132257225
"390",0.994951273922743
"391",1
"392",0.854110744029183
"393",0.564353809862792
"394",0.813202167094383
"395",0.623186060311809
"396",0.818452182494699
"397",0.998707751669912
"398",0.994951273922743
"399",0.758907954399325
"400",0.922207823159651
"401",0.597536634048975
"402",0.992057221011078
"403",0.612811759658254
"404",0.95991408187086
"405",0.852139199861147
"406",1
"407",0.570442448436461
"408",0.818452182494699
"409",0.992057221011078
"410",0.552609067579128
"411",0.587412132257225
"412",0.959071404229868
"413",1
"414",0.646383703181872
"415",1
"416",0.808684788695989
"417",0.513501732167848
"418",0.722875791824711
"419",0.916317653709921
"420",0.921771551237148
"421",0.861006799959403
"422",0.90810160500916
"423",0.588519296485563
"424",0.491675472584243
"425",0.90810160500916
"426",0.602775218793183
"427",0.623504012383397
"428",0.870675316034597
"429",0.854110744029183
"430",1
"431",0.576447105788423
"432",0.816854769723226
"433",0.962373557968808
"434",0.795099456259894
"435",0.751887529289248
"436",0.852842910291728
"437",0.768330741831254
"438",1
"439",0.603896967968824
"440",0.946946322794268
"441",0.778357723056561
"442",0.95991408187086
"443",0.909443249423483
"444",0.791129082042101
"445",0.576447105788423
"446",0.984919770847914
"447",0.930443380400609
"448",0.564353809862792
