"","C_pen","H_chr","L_con","L_for","M_bur","M_cap","M_cer","M_fus","M_gou","M_mus","N_ale","N_cer","N_fus","N_mit","P_apo","P_aus","P_del","P_des","P_gra","P_her","P_hig","P_mol","P_nov","P_ora","P_pat","P_sho","R_fus","R_leu","R_lut","R_nor","R_rat","R_sor","R_tun","R_vil","U_cau","X_myo","Z_arg","Z_ped"
"C_pen",1,0.782435129740519,0.732534930139721,0.782435129740519,0.375249500998004,0.259481037924152,0.716566866267465,0.712574850299401,0.445109780439122,0.750499001996008,0.666666666666667,0.658682634730539,0.708582834331337,0.662674650698603,0.908183632734531,0.634730538922156,0.441117764471058,0.447105788423154,0.602794411177645,0.572854291417166,0.121756487025948,0.828343313373254,0.964071856287425,0.642714570858283,0.722554890219561,0.489021956087824,0.331337325349301,0.856287425149701,0.806387225548902,0.343313373253493,0.42315369261477,0.594810379241517,0.6187624750499,0.483033932135729,0.353293413173653,0.81437125748503,0.321357285429142,0.271457085828343
"H_chr",0.782435129740519,1,0.437125748502994,0.497005988023952,0.0538922155688623,0.0259481037924152,0.840319361277445,0.241516966067864,0.0778443113772455,0.648702594810379,0.748502994011976,0.672654690618762,0.169660678642715,0.325349301397206,0.295409181636727,0.281437125748503,0.7624750499002,0.986027944111776,0.225548902195609,0.780439121756487,0.219560878243513,0.674650698602794,0.271457085828343,0.840319361277445,0.656686626746507,0.894211576846307,0.0479041916167665,0.68063872255489,0.654690618762475,0.0419161676646707,0.0858283433133733,0.554890219560878,0.836327345309381,0.117764471057884,0.912175648702595,0.576846307385229,0.0339321357285429,0.385229540918164
"L_con",0.732534930139721,0.437125748502994,1,0.920159680638723,0.317365269461078,0.0139720558882236,0.516966067864271,0.177644710578842,0.091816367265469,0.500998003992016,0.576846307385229,0.560878243512974,0.12375249500998,0.88622754491018,0.17564870259481,0.94810379241517,0.838323353293413,0.840319361277445,0.301397205588822,0.75249500998004,0.161676646706587,0.419161676646707,0.189620758483034,0.818363273453094,0.584830339321357,0.808383233532934,0.303393213572854,0.211576846307385,0.405189620758483,0.091816367265469,0.199600798403194,0.724550898203593,0.648702594810379,0.536926147704591,0.92814371257485,0.512974051896208,0.0119760479041916,0.315369261477046
"L_for",0.782435129740519,0.497005988023952,0.920159680638723,1,0.29940119760479,0.00998003992015972,0.562874251497006,0.207584830339321,0.0399201596806387,0.612774451097804,0.672654690618762,0.640718562874252,0.147704590818363,0.816367265469062,0.203592814371258,0.99001996007984,0.908183632734531,0.910179640718563,0.211576846307385,0.808383233532934,0.201596806387226,0.473053892215569,0.239520958083832,0.844311377245509,0.664670658682635,0.884231536926148,0.351297405189621,0.303393213572854,0.467065868263473,0.0838323353293413,0.193612774451098,0.778443113772455,0.7624750499002,0.50499001996008,0.956087824351297,0.590818363273453,0.00199600798403199,0.401197604790419
"M_bur",0.375249500998004,0.0538922155688623,0.317365269461078,0.29940119760479,1,0.315369261477046,0.0838323353293413,0.0439121756487026,0.766467065868264,0.0858283433133733,0.129740518962076,0.155688622754491,0.0139720558882236,0.341317365269461,0.0159680638722555,0.227544910179641,0.403193612774451,0.393213572854291,0.82435129740519,0.327345309381238,0.0459081836327345,0.0878243512974052,0.0239520958083832,0.489021956087824,0.18562874251497,0.341317365269461,0.944111776447106,0.00798403193612773,0.0518962075848304,0.636726546906188,0.936127744510978,0.209580838323353,0.169660678642715,0.718562874251497,0.552894211576846,0.143712574850299,0.377245508982036,0.119760479041916
"M_cap",0.259481037924152,0.0259481037924152,0.0139720558882236,0.00998003992015972,0.315369261477046,1,0.0279441117764471,0.0239520958083832,0.437125748502994,0.0119760479041916,0.0379241516966068,0.0578842315369261,0.00598802395209586,0.0379241516966068,0.00998003992015972,0.0259481037924152,0.209580838323353,0.245508982035928,0.143712574850299,0.169660678642715,0.0259481037924152,0.00598802395209586,0.0119760479041916,0.401197604790419,0.0878243512974052,0.205588822355289,0.347305389221557,0.00798403193612773,0.00399201596806387,0.512974051896208,0.297405189620758,0.0898203592814372,0.0558882235528942,0.159680638722555,0.363273453093812,0.0738522954091816,0.968063872255489,0.0718562874251497
"M_cer",0.716566866267465,0.840319361277445,0.516966067864271,0.562874251497006,0.0838323353293413,0.0279441117764471,1,0.201596806387226,0.0978043912175649,0.776447105788423,0.864271457085828,0.632734530938124,0.131736526946108,0.399201596806387,0.221556886227545,0.42315369261477,0.834331337325349,0.956087824351297,0.301397205588822,0.740518962075848,0.183632734530938,0.770459081836327,0.223552894211577,0.794411177644711,0.598802395209581,0.962075848303393,0.0678642714570858,0.602794411177645,0.782435129740519,0.0558882235528942,0.115768463073852,0.684630738522954,0.93812375249501,0.181636726546906,0.966067864271457,0.49500998003992,0.0419161676646707,0.351297405189621
"M_fus",0.712574850299401,0.241516966067864,0.177644710578842,0.207584830339321,0.0439121756487026,0.0239520958083832,0.201596806387226,1,0.0658682634730539,0.199600798403194,0.193612774451098,0.173652694610778,0.99001996007984,0.143712574850299,0.445109780439122,0.135728542914172,0.0858283433133733,0.0858283433133733,0.0958083832335329,0.155688622754491,0.425149700598802,0.283433133732535,0.552894211576846,0.936127744510978,0.315369261477046,0.093812375249501,0.0359281437125748,0.349301397205589,0.243512974051896,0.0319361277445109,0.0518962075848304,0.143712574850299,0.121756487025948,0.0858283433133733,0.0518962075848304,0.359281437125748,0.0259481037924152,0.648702594810379
"M_gou",0.445109780439122,0.0778443113772455,0.091816367265469,0.0399201596806387,0.766467065868264,0.437125748502994,0.0978043912175649,0.0658682634730539,1,0.0778443113772455,0.149700598802395,0.19560878243513,0.0279441117764471,0.139720558882236,0.0239520958083832,0.153692614770459,0.445109780439122,0.487025948103792,0.401197604790419,0.37125748502994,0.0538922155688623,0.0199600798403193,0.0299401197604791,0.546906187624751,0.229540918163673,0.421157684630739,0.82435129740519,0.0159680638722555,0.0299401197604791,0.962075848303393,0.760479041916168,0.241516966067864,0.215568862275449,0.473053892215569,0.62874251497006,0.18562874251497,0.357285429141717,0.141716566866267
"M_mus",0.750499001996008,0.648702594810379,0.500998003992016,0.612774451097804,0.0858283433133733,0.0119760479041916,0.776447105788423,0.199600798403194,0.0778443113772455,1,0.878243512974052,0.578842315369261,0.149700598802395,0.445109780439122,0.187624750499002,0.491017964071856,0.970059880239521,0.862275449101796,0.243512974051896,0.736526946107784,0.191616766467066,0.934131736526946,0.229540918163673,0.810379241516966,0.612774451097804,0.88622754491018,0.0978043912175649,0.359281437125748,0.992015968063872,0.0499001996007984,0.105788423153693,0.902195608782435,0.842315369261477,0.205588822355289,0.954091816367265,0.528942115768463,0.0239520958083832,0.365269461077844
