,Df,SS,MS,Rsq,F,Z,Pr(>F)
log(CS),1,0.0153,0.0153,0.422,24.63,5.25,0.0020
genus,13,0.0091,0.0007,0.252,1.13,3.70,0.0020
Residuals,19,0.0118,0.0006,0.326,,,
Total,33,0.0362,,,,,
